Particle density of  using cloud-in-cell method

x \in [0.000000, 100.000000], y \in [0.000000, 100.000000]
n_x = 100, n_y = 100, Delta_x = 1.000000, Delta_y = 1.000000

        x             y            density  
1.000000e+000 3.300000e+001 0.000000e+000
1.000000e+000 3.400000e+001 0.000000e+000
1.000000e+000 3.500000e+001 0.000000e+000
1.000000e+000 3.600000e+001 0.000000e+000
1.000000e+000 3.700000e+001 0.000000e+000
1.000000e+000 3.800000e+001 0.000000e+000
1.000000e+000 3.900000e+001 0.000000e+000
1.000000e+000 4.000000e+001 0.000000e+000
1.000000e+000 4.100000e+001 0.000000e+000
1.000000e+000 4.200000e+001 0.000000e+000
1.000000e+000 4.300000e+001 0.000000e+000
1.000000e+000 4.400000e+001 0.000000e+000
1.000000e+000 4.500000e+001 0.000000e+000
1.000000e+000 4.600000e+001 0.000000e+000
1.000000e+000 4.700000e+001 0.000000e+000
1.000000e+000 4.800000e+001 0.000000e+000
1.000000e+000 4.900000e+001 0.000000e+000
1.000000e+000 5.000000e+001 0.000000e+000
1.000000e+000 5.100000e+001 0.000000e+000
1.000000e+000 5.200000e+001 0.000000e+000
1.000000e+000 5.300000e+001 0.000000e+000
1.000000e+000 5.400000e+001 0.000000e+000
1.000000e+000 5.500000e+001 0.000000e+000
1.000000e+000 5.600000e+001 0.000000e+000
1.000000e+000 5.700000e+001 0.000000e+000
1.000000e+000 5.800000e+001 0.000000e+000
1.000000e+000 5.900000e+001 0.000000e+000
1.000000e+000 6.000000e+001 0.000000e+000
1.000000e+000 6.100000e+001 0.000000e+000
1.000000e+000 6.200000e+001 0.000000e+000
1.000000e+000 6.300000e+001 0.000000e+000
1.000000e+000 6.400000e+001 0.000000e+000
1.000000e+000 6.500000e+001 0.000000e+000
1.000000e+000 6.600000e+001 0.000000e+000
1.000000e+000 6.700000e+001 0.000000e+000
1.000000e+000 6.800000e+001 0.000000e+000
1.000000e+000 6.900000e+001 0.000000e+000
1.000000e+000 7.000000e+001 0.000000e+000
1.000000e+000 7.100000e+001 0.000000e+000
1.000000e+000 7.200000e+001 0.000000e+000
1.000000e+000 7.300000e+001 0.000000e+000
1.000000e+000 7.400000e+001 0.000000e+000
1.000000e+000 7.500000e+001 0.000000e+000
1.000000e+000 7.600000e+001 0.000000e+000
1.000000e+000 7.700000e+001 0.000000e+000
1.000000e+000 7.800000e+001 0.000000e+000
1.000000e+000 7.900000e+001 0.000000e+000
1.000000e+000 8.000000e+001 0.000000e+000
1.000000e+000 8.100000e+001 0.000000e+000
1.000000e+000 8.200000e+001 0.000000e+000
1.000000e+000 8.300000e+001 0.000000e+000
1.000000e+000 8.400000e+001 0.000000e+000
1.000000e+000 8.500000e+001 0.000000e+000
1.000000e+000 8.600000e+001 0.000000e+000
1.000000e+000 8.700000e+001 0.000000e+000
1.000000e+000 8.800000e+001 0.000000e+000
1.000000e+000 8.900000e+001 0.000000e+000
1.000000e+000 9.000000e+001 0.000000e+000
1.000000e+000 9.100000e+001 0.000000e+000
1.000000e+000 9.200000e+001 0.000000e+000
1.000000e+000 9.300000e+001 0.000000e+000
1.000000e+000 9.400000e+001 0.000000e+000
1.000000e+000 9.500000e+001 0.000000e+000
1.000000e+000 9.600000e+001 0.000000e+000
1.000000e+000 9.700000e+001 0.000000e+000
1.000000e+000 9.800000e+001 0.000000e+000
1.000000e+000 9.900000e+001 0.000000e+000
1.000000e+000 1.000000e+002 0.000000e+000
2.000000e+000 0.000000e+000 1.019401e-038
2.000000e+000 1.000000e+000 1.020146e-038
2.000000e+000 2.000000e+000 0.000000e+000
2.000000e+000 3.000000e+000 0.000000e+000
2.000000e+000 4.000000e+000 0.000000e+000
2.000000e+000 5.000000e+000 0.000000e+000
2.000000e+000 6.000000e+000 0.000000e+000
2.000000e+000 7.000000e+000 0.000000e+000
2.000000e+000 8.000000e+000 0.000000e+000
2.000000e+000 9.000000e+000 0.000000e+000
2.000000e+000 1.000000e+001 0.000000e+000
2.000000e+000 1.100000e+001 0.000000e+000
2.000000e+000 1.200000e+001 0.000000e+000
2.000000e+000 1.300000e+001 0.000000e+000
2.000000e+000 1.400000e+001 0.000000e+000
2.000000e+000 1.500000e+001 0.000000e+000
2.000000e+000 1.600000e+001 0.000000e+000
2.000000e+000 1.700000e+001 0.000000e+000
2.000000e+000 1.800000e+001 0.000000e+000
2.000000e+000 1.900000e+001 0.000000e+000
2.000000e+000 2.000000e+001 0.000000e+000
2.000000e+000 2.100000e+001 0.000000e+000
2.000000e+000 2.200000e+001 0.000000e+000
2.000000e+000 2.300000e+001 0.000000e+000
2.000000e+000 2.400000e+001 0.000000e+000
2.000000e+000 2.500000e+001 0.000000e+000
2.000000e+000 2.600000e+001 0.000000e+000
2.000000e+000 2.700000e+001 0.000000e+000
2.000000e+000 2.800000e+001 0.000000e+000
2.000000e+000 2.900000e+001 0.000000e+000
2.000000e+000 3.000000e+001 0.000000e+000
2.000000e+000 3.100000e+001 0.000000e+000
2.000000e+000 3.200000e+001 0.000000e+000
2.000000e+000 3.300000e+001 0.000000e+000
2.000000e+000 3.400000e+001 0.000000e+000
2.000000e+000 3.500000e+001 0.000000e+000
2.000000e+000 3.600000e+001 0.000000e+000
2.000000e+000 3.700000e+001 0.000000e+000
2.000000e+000 3.800000e+001 0.000000e+000
2.000000e+000 3.900000e+001 0.000000e+000
2.000000e+000 4.000000e+001 0.000000e+000
2.000000e+000 4.100000e+001 0.000000e+000
2.000000e+000 4.200000e+001 0.000000e+000
2.000000e+000 4.300000e+001 0.000000e+000
2.000000e+000 4.400000e+001 0.000000e+000
2.000000e+000 4.500000e+001 0.000000e+000
2.000000e+000 4.600000e+001 0.000000e+000
2.000000e+000 4.700000e+001 0.000000e+000
2.000000e+000 4.800000e+001 0.000000e+000
2.000000e+000 4.900000e+001 0.000000e+000
2.000000e+000 5.000000e+001 0.000000e+000
2.000000e+000 5.100000e+001 0.000000e+000
2.000000e+000 5.200000e+001 0.000000e+000
2.000000e+000 5.300000e+001 0.000000e+000
2.000000e+000 5.400000e+001 0.000000e+000
2.000000e+000 5.500000e+001 0.000000e+000
2.000000e+000 5.600000e+001 0.000000e+000
2.000000e+000 5.700000e+001 0.000000e+000
2.000000e+000 5.800000e+001 0.000000e+000
2.000000e+000 5.900000e+001 0.000000e+000
2.000000e+000 6.000000e+001 0.000000e+000
2.000000e+000 6.100000e+001 0.000000e+000
2.000000e+000 6.200000e+001 0.000000e+000
2.000000e+000 6.300000e+001 0.000000e+000
2.000000e+000 6.400000e+001 0.000000e+000
2.000000e+000 6.500000e+001 0.000000e+000
2.000000e+000 6.600000e+001 0.000000e+000
2.000000e+000 6.700000e+001 0.000000e+000
2.000000e+000 6.800000e+001 0.000000e+000
2.000000e+000 6.900000e+001 0.000000e+000
2.000000e+000 7.000000e+001 0.000000e+000
2.000000e+000 7.100000e+001 0.000000e+000
2.000000e+000 7.200000e+001 0.000000e+000
2.000000e+000 7.300000e+001 0.000000e+000
2.000000e+000 7.400000e+001 0.000000e+000
2.000000e+000 7.500000e+001 0.000000e+000
2.000000e+000 7.600000e+001 0.000000e+000
2.000000e+000 7.700000e+001 0.000000e+000
2.000000e+000 7.800000e+001 0.000000e+000
2.000000e+000 7.900000e+001 0.000000e+000
2.000000e+000 8.000000e+001 0.000000e+000
2.000000e+000 8.100000e+001 0.000000e+000
2.000000e+000 8.200000e+001 0.000000e+000
2.000000e+000 8.300000e+001 0.000000e+000
2.000000e+000 8.400000e+001 0.000000e+000
2.000000e+000 8.500000e+001 0.000000e+000
2.000000e+000 8.600000e+001 0.000000e+000
2.000000e+000 8.700000e+001 0.000000e+000
2.000000e+000 8.800000e+001 0.000000e+000
2.000000e+000 8.900000e+001 0.000000e+000
2.000000e+000 9.000000e+001 0.000000e+000
2.000000e+000 9.100000e+001 0.000000e+000
2.000000e+000 9.200000e+001 0.000000e+000
2.000000e+000 9.300000e+001 0.000000e+000
2.000000e+000 9.400000e+001 0.000000e+000
2.000000e+000 9.500000e+001 0.000000e+000
2.000000e+000 9.600000e+001 0.000000e+000
2.000000e+000 9.700000e+001 0.000000e+000
2.000000e+000 9.800000e+001 0.000000e+000
2.000000e+000 9.900000e+001 0.000000e+000
2.000000e+000 1.000000e+002 0.000000e+000
3.000000e+000 0.000000e+000 1.019401e-038
3.000000e+000 1.000000e+000 1.020146e-038
3.000000e+000 2.000000e+000 0.000000e+000
3.000000e+000 3.000000e+000 0.000000e+000
3.000000e+000 4.000000e+000 0.000000e+000
3.000000e+000 5.000000e+000 0.000000e+000
3.000000e+000 6.000000e+000 0.000000e+000
3.000000e+000 7.000000e+000 0.000000e+000
3.000000e+000 8.000000e+000 0.000000e+000
3.000000e+000 9.000000e+000 0.000000e+000
3.000000e+000 1.000000e+001 0.000000e+000
3.000000e+000 1.100000e+001 0.000000e+000
3.000000e+000 1.200000e+001 0.000000e+000
3.000000e+000 1.300000e+001 0.000000e+000
3.000000e+000 1.400000e+001 0.000000e+000
3.000000e+000 1.500000e+001 0.000000e+000
3.000000e+000 1.600000e+001 0.000000e+000
3.000000e+000 1.700000e+001 0.000000e+000
3.000000e+000 1.800000e+001 0.000000e+000
3.000000e+000 1.900000e+001 0.000000e+000
3.000000e+000 2.000000e+001 0.000000e+000
3.000000e+000 2.100000e+001 0.000000e+000
3.000000e+000 2.200000e+001 0.000000e+000
3.000000e+000 2.300000e+001 0.000000e+000
3.000000e+000 2.400000e+001 0.000000e+000
3.000000e+000 2.500000e+001 0.000000e+000
3.000000e+000 2.600000e+001 0.000000e+000
3.000000e+000 2.700000e+001 0.000000e+000
3.000000e+000 2.800000e+001 0.000000e+000
3.000000e+000 2.900000e+001 0.000000e+000
3.000000e+000 3.000000e+001 0.000000e+000
3.000000e+000 3.100000e+001 0.000000e+000
3.000000e+000 3.200000e+001 0.000000e+000
3.000000e+000 3.300000e+001 0.000000e+000
3.000000e+000 3.400000e+001 0.000000e+000
3.000000e+000 3.500000e+001 0.000000e+000
3.000000e+000 3.600000e+001 0.000000e+000
3.000000e+000 3.700000e+001 0.000000e+000
3.000000e+000 3.800000e+001 0.000000e+000
3.000000e+000 3.900000e+001 0.000000e+000
3.000000e+000 4.000000e+001 0.000000e+000
3.000000e+000 4.100000e+001 0.000000e+000
3.000000e+000 4.200000e+001 0.000000e+000
3.000000e+000 4.300000e+001 0.000000e+000
3.000000e+000 4.400000e+001 0.000000e+000
3.000000e+000 4.500000e+001 0.000000e+000
3.000000e+000 4.600000e+001 0.000000e+000
3.000000e+000 4.700000e+001 0.000000e+000
3.000000e+000 4.800000e+001 0.000000e+000
3.000000e+000 4.900000e+001 0.000000e+000
3.000000e+000 5.000000e+001 0.000000e+000
3.000000e+000 5.100000e+001 0.000000e+000
3.000000e+000 5.200000e+001 0.000000e+000
3.000000e+000 5.300000e+001 0.000000e+000
3.000000e+000 5.400000e+001 0.000000e+000
3.000000e+000 5.500000e+001 0.000000e+000
3.000000e+000 5.600000e+001 0.000000e+000
3.000000e+000 5.700000e+001 0.000000e+000
3.000000e+000 5.800000e+001 0.000000e+000
3.000000e+000 5.900000e+001 0.000000e+000
3.000000e+000 6.000000e+001 0.000000e+000
3.000000e+000 6.100000e+001 0.000000e+000
3.000000e+000 6.200000e+001 0.000000e+000
3.000000e+000 6.300000e+001 0.000000e+000
3.000000e+000 6.400000e+001 0.000000e+000
3.000000e+000 6.500000e+001 0.000000e+000
3.000000e+000 6.600000e+001 0.000000e+000
3.000000e+000 6.700000e+001 0.000000e+000
3.000000e+000 6.800000e+001 0.000000e+000
3.000000e+000 6.900000e+001 0.000000e+000
3.000000e+000 7.000000e+001 0.000000e+000
3.000000e+000 7.100000e+001 0.000000e+000
3.000000e+000 7.200000e+001 0.000000e+000
3.000000e+000 7.300000e+001 0.000000e+000
3.000000e+000 7.400000e+001 0.000000e+000
3.000000e+000 7.500000e+001 0.000000e+000
3.000000e+000 7.600000e+001 0.000000e+000
3.000000e+000 7.700000e+001 0.000000e+000
3.000000e+000 7.800000e+001 0.000000e+000
3.000000e+000 7.900000e+001 0.000000e+000
3.000000e+000 8.000000e+001 0.000000e+000
3.000000e+000 8.100000e+001 0.000000e+000
3.000000e+000 8.200000e+001 0.000000e+000
3.000000e+000 8.300000e+001 0.000000e+000
3.000000e+000 8.400000e+001 0.000000e+000
3.000000e+000 8.500000e+001 0.000000e+000
3.000000e+000 8.600000e+001 0.000000e+000
3.000000e+000 8.700000e+001 0.000000e+000
3.000000e+000 8.800000e+001 0.000000e+000
3.000000e+000 8.900000e+001 0.000000e+000
3.000000e+000 9.000000e+001 0.000000e+000
3.000000e+000 9.100000e+001 0.000000e+000
3.000000e+000 9.200000e+001 0.000000e+000
3.000000e+000 9.300000e+001 0.000000e+000
3.000000e+000 9.400000e+001 0.000000e+000
3.000000e+000 9.500000e+001 0.000000e+000
3.000000e+000 9.600000e+001 0.000000e+000
3.000000e+000 9.700000e+001 0.000000e+000
3.000000e+000 9.800000e+001 0.000000e+000
3.000000e+000 9.900000e+001 0.000000e+000
3.000000e+000 1.000000e+002 0.000000e+000
4.000000e+000 0.000000e+000 1.019401e-038
4.000000e+000 1.000000e+000 1.020146e-038
4.000000e+000 2.000000e+000 0.000000e+000
4.000000e+000 3.000000e+000 0.000000e+000
4.000000e+000 4.000000e+000 0.000000e+000
4.000000e+000 5.000000e+000 0.000000e+000
4.000000e+000 6.000000e+000 0.000000e+000
4.000000e+000 7.000000e+000 0.000000e+000
4.000000e+000 8.000000e+000 0.000000e+000
4.000000e+000 9.000000e+000 0.000000e+000
4.000000e+000 1.000000e+001 0.000000e+000
4.000000e+000 1.100000e+001 0.000000e+000
4.000000e+000 1.200000e+001 0.000000e+000
4.000000e+000 1.300000e+001 0.000000e+000
4.000000e+000 1.400000e+001 0.000000e+000
4.000000e+000 1.500000e+001 0.000000e+000
4.000000e+000 1.600000e+001 0.000000e+000
4.000000e+000 1.700000e+001 0.000000e+000
4.000000e+000 1.800000e+001 0.000000e+000
4.000000e+000 1.900000e+001 0.000000e+000
4.000000e+000 2.000000e+001 0.000000e+000
4.000000e+000 2.100000e+001 0.000000e+000
4.000000e+000 2.200000e+001 0.000000e+000
4.000000e+000 2.300000e+001 0.000000e+000
4.000000e+000 2.400000e+001 0.000000e+000
4.000000e+000 2.500000e+001 0.000000e+000
4.000000e+000 2.600000e+001 0.000000e+000
4.000000e+000 2.700000e+001 0.000000e+000
4.000000e+000 2.800000e+001 0.000000e+000
4.000000e+000 2.900000e+001 0.000000e+000
4.000000e+000 3.000000e+001 0.000000e+000
4.000000e+000 3.100000e+001 0.000000e+000
4.000000e+000 3.200000e+001 0.000000e+000
4.000000e+000 3.300000e+001 0.000000e+000
4.000000e+000 3.400000e+001 0.000000e+000
4.000000e+000 3.500000e+001 0.000000e+000
4.000000e+000 3.600000e+001 0.000000e+000
4.000000e+000 3.700000e+001 0.000000e+000
4.000000e+000 3.800000e+001 0.000000e+000
4.000000e+000 3.900000e+001 0.000000e+000
4.000000e+000 4.000000e+001 0.000000e+000
4.000000e+000 4.100000e+001 0.000000e+000
4.000000e+000 4.200000e+001 0.000000e+000
4.000000e+000 4.300000e+001 0.000000e+000
4.000000e+000 4.400000e+001 0.000000e+000
4.000000e+000 4.500000e+001 0.000000e+000
4.000000e+000 4.600000e+001 0.000000e+000
4.000000e+000 4.700000e+001 0.000000e+000
4.000000e+000 4.800000e+001 0.000000e+000
4.000000e+000 4.900000e+001 0.000000e+000
4.000000e+000 5.000000e+001 0.000000e+000
4.000000e+000 5.100000e+001 0.000000e+000
4.000000e+000 5.200000e+001 0.000000e+000
4.000000e+000 5.300000e+001 0.000000e+000
4.000000e+000 5.400000e+001 0.000000e+000
4.000000e+000 5.500000e+001 0.000000e+000
4.000000e+000 5.600000e+001 0.000000e+000
4.000000e+000 5.700000e+001 0.000000e+000
4.000000e+000 5.800000e+001 0.000000e+000
4.000000e+000 5.900000e+001 0.000000e+000
4.000000e+000 6.000000e+001 0.000000e+000
4.000000e+000 6.100000e+001 0.000000e+000
4.000000e+000 6.200000e+001 0.000000e+000
4.000000e+000 6.300000e+001 0.000000e+000
4.000000e+000 6.400000e+001 0.000000e+000
4.000000e+000 6.500000e+001 0.000000e+000
4.000000e+000 6.600000e+001 0.000000e+000
4.000000e+000 6.700000e+001 0.000000e+000
4.000000e+000 6.800000e+001 0.000000e+000
4.000000e+000 6.900000e+001 0.000000e+000
4.000000e+000 7.000000e+001 0.000000e+000
4.000000e+000 7.100000e+001 0.000000e+000
4.000000e+000 7.200000e+001 0.000000e+000
4.000000e+000 7.300000e+001 0.000000e+000
4.000000e+000 7.400000e+001 0.000000e+000
4.000000e+000 7.500000e+001 0.000000e+000
4.000000e+000 7.600000e+001 0.000000e+000
4.000000e+000 7.700000e+001 0.000000e+000
4.000000e+000 7.800000e+001 0.000000e+000
4.000000e+000 7.900000e+001 0.000000e+000
4.000000e+000 8.000000e+001 0.000000e+000
4.000000e+000 8.100000e+001 0.000000e+000
4.000000e+000 8.200000e+001 5.605194e-045
4.000000e+000 8.300000e+001 6.193739e-043
4.000000e+000 8.400000e+001 1.019394e-038
4.000000e+000 8.500000e+001 1.019394e-038
4.000000e+000 8.600000e+001 1.019382e-038
4.000000e+000 8.700000e+001 1.019382e-038
4.000000e+000 8.800000e+001 1.022244e-038
4.000000e+000 8.900000e+001 5.739719e-041
4.000000e+000 9.000000e+001 0.000000e+000
4.000000e+000 9.100000e+001 0.000000e+000
4.000000e+000 9.200000e+001 0.000000e+000
4.000000e+000 9.300000e+001 0.000000e+000
4.000000e+000 9.400000e+001 0.000000e+000
4.000000e+000 9.500000e+001 0.000000e+000
4.000000e+000 9.600000e+001 0.000000e+000
4.000000e+000 9.700000e+001 0.000000e+000
4.000000e+000 9.800000e+001 0.000000e+000
4.000000e+000 9.900000e+001 0.000000e+000
4.000000e+000 1.000000e+002 0.000000e+000
5.000000e+000 0.000000e+000 1.019401e-038
5.000000e+000 1.000000e+000 1.020146e-038
5.000000e+000 2.000000e+000 0.000000e+000
5.000000e+000 3.000000e+000 0.000000e+000
5.000000e+000 4.000000e+000 0.000000e+000
5.000000e+000 5.000000e+000 0.000000e+000
5.000000e+000 6.000000e+000 0.000000e+000
5.000000e+000 7.000000e+000 0.000000e+000
5.000000e+000 8.000000e+000 0.000000e+000
5.000000e+000 9.000000e+000 0.000000e+000
5.000000e+000 1.000000e+001 0.000000e+000
5.000000e+000 1.100000e+001 0.000000e+000
5.000000e+000 1.200000e+001 0.000000e+000
5.000000e+000 1.300000e+001 0.000000e+000
5.000000e+000 1.400000e+001 0.000000e+000
5.000000e+000 1.500000e+001 0.000000e+000
5.000000e+000 1.600000e+001 0.000000e+000
5.000000e+000 1.700000e+001 0.000000e+000
5.000000e+000 1.800000e+001 0.000000e+000
5.000000e+000 1.900000e+001 0.000000e+000
5.000000e+000 2.000000e+001 0.000000e+000
5.000000e+000 2.100000e+001 0.000000e+000
5.000000e+000 2.200000e+001 0.000000e+000
5.000000e+000 2.300000e+001 0.000000e+000
5.000000e+000 2.400000e+001 0.000000e+000
5.000000e+000 2.500000e+001 0.000000e+000
5.000000e+000 2.600000e+001 0.000000e+000
5.000000e+000 2.700000e+001 0.000000e+000
5.000000e+000 2.800000e+001 0.000000e+000
5.000000e+000 2.900000e+001 0.000000e+000
5.000000e+000 3.000000e+001 0.000000e+000
5.000000e+000 3.100000e+001 0.000000e+000
5.000000e+000 3.200000e+001 0.000000e+000
5.000000e+000 3.300000e+001 0.000000e+000
5.000000e+000 3.400000e+001 0.000000e+000
5.000000e+000 3.500000e+001 0.000000e+000
5.000000e+000 3.600000e+001 0.000000e+000
5.000000e+000 3.700000e+001 0.000000e+000
5.000000e+000 3.800000e+001 0.000000e+000
5.000000e+000 3.900000e+001 0.000000e+000
5.000000e+000 4.000000e+001 0.000000e+000
5.000000e+000 4.100000e+001 0.000000e+000
5.000000e+000 4.200000e+001 0.000000e+000
5.000000e+000 4.300000e+001 0.000000e+000
5.000000e+000 4.400000e+001 0.000000e+000
5.000000e+000 4.500000e+001 0.000000e+000
5.000000e+000 4.600000e+001 0.000000e+000
5.000000e+000 4.700000e+001 0.000000e+000
5.000000e+000 4.800000e+001 0.000000e+000
5.000000e+000 4.900000e+001 0.000000e+000
5.000000e+000 5.000000e+001 0.000000e+000
5.000000e+000 5.100000e+001 0.000000e+000
5.000000e+000 5.200000e+001 0.000000e+000
5.000000e+000 5.300000e+001 0.000000e+000
5.000000e+000 5.400000e+001 0.000000e+000
5.000000e+000 5.500000e+001 0.000000e+000
5.000000e+000 5.600000e+001 0.000000e+000
5.000000e+000 5.700000e+001 0.000000e+000
5.000000e+000 5.800000e+001 0.000000e+000
5.000000e+000 5.900000e+001 0.000000e+000
5.000000e+000 6.000000e+001 0.000000e+000
5.000000e+000 6.100000e+001 0.000000e+000
5.000000e+000 6.200000e+001 0.000000e+000
5.000000e+000 6.300000e+001 0.000000e+000
5.000000e+000 6.400000e+001 0.000000e+000
5.000000e+000 6.500000e+001 0.000000e+000
